dataset,expression,chain_of_thought,answer
train,((43 + 32) + (29 - 4)),"[""Compute 43 + 32 = 75."", ""Compute 29 - 4 = 25."", ""Compute 75 + 25 = 100.""]",100
train,((11 * 5) - (15 * 13)),"[""Compute 11 * 5 = 55."", ""Compute 15 * 13 = 195."", ""Compute 55 - 195 = -140.""]",-140
train,(20 - 8),"[""Compute 20 - 8 = 12.""]",12
train,(34 + 3),"[""Compute 34 + 3 = 37.""]",37
train,((42 - 14) * (8 + 26)),"[""Compute 42 - 14 = 28."", ""Compute 8 + 26 = 34."", ""Compute 28 * 34 = 952.""]",952
train,((36 * 30) - (8 * 43)),"[""Compute 36 * 30 = 1080."", ""Compute 8 * 43 = 344."", ""Compute 1080 - 344 = 736.""]",736
train,(9 * 7),"[""Compute 9 * 7 = 63.""]",63
train,(16 * 16),"[""Compute 16 * 16 = 256.""]",256
train,(45 * 43),"[""Compute 45 * 43 = 1935.""]",1935
train,(19 + 29),"[""Compute 19 + 29 = 48.""]",48
train,(29 - 9),"[""Compute 29 - 9 = 20.""]",20
train,((10 - 9) - (35 + 23)),"[""Compute 10 - 9 = 1."", ""Compute 35 + 23 = 58."", ""Compute 1 - 58 = -57.""]",-57
train,((48 - 24) * (4 - 48)),"[""Compute 48 - 24 = 24."", ""Compute 4 - 48 = -44."", ""Compute 24 * -44 = -1056.""]",-1056
train,((30 + 28) * (24 * 27)),"[""Compute 30 + 28 = 58."", ""Compute 24 * 27 = 648."", ""Compute 58 * 648 = 37584.""]",37584
train,((47 + 11) - (49 - 22)),"[""Compute 47 + 11 = 58."", ""Compute 49 - 22 = 27."", ""Compute 58 - 27 = 31.""]",31
train,((20 - 28) + (40 + 9)),"[""Compute 20 - 28 = -8."", ""Compute 40 + 9 = 49."", ""Compute -8 + 49 = 41.""]",41
train,(18 * 38),"[""Compute 18 * 38 = 684.""]",684
train,(17 + 44),"[""Compute 17 + 44 = 61.""]",61
train,(32 + 18),"[""Compute 32 + 18 = 50.""]",50
train,((48 - 48) - (35 + 37)),"[""Compute 48 - 48 = 0."", ""Compute 35 + 37 = 72."", ""Compute 0 - 72 = -72.""]",-72
train,((9 + 6) - (47 * 50)),"[""Compute 9 + 6 = 15."", ""Compute 47 * 50 = 2350."", ""Compute 15 - 2350 = -2335.""]",-2335
train,(14 - 8),"[""Compute 14 - 8 = 6.""]",6
train,(22 + 9),"[""Compute 22 + 9 = 31.""]",31
train,((18 + 36) * (32 - 37)),"[""Compute 18 + 36 = 54."", ""Compute 32 - 37 = -5."", ""Compute 54 * -5 = -270.""]",-270
train,((15 * 14) + (31 - 50)),"[""Compute 15 * 14 = 210."", ""Compute 31 - 50 = -19."", ""Compute 210 + -19 = 191.""]",191
train,((1 - 48) - (19 * 45)),"[""Compute 1 - 48 = -47."", ""Compute 19 * 45 = 855."", ""Compute -47 - 855 = -902.""]",-902
train,((8 * 26) * (10 + 15)),"[""Compute 8 * 26 = 208."", ""Compute 10 + 15 = 25."", ""Compute 208 * 25 = 5200.""]",5200
train,(23 * 21),"[""Compute 23 * 21 = 483.""]",483
train,((25 - 9) + (40 + 25)),"[""Compute 25 - 9 = 16."", ""Compute 40 + 25 = 65."", ""Compute 16 + 65 = 81.""]",81
train,(48 - 38),"[""Compute 48 - 38 = 10.""]",10
train,((17 + 34) + (12 + 49)),"[""Compute 17 + 34 = 51."", ""Compute 12 + 49 = 61."", ""Compute 51 + 61 = 112.""]",112
train,(32 + 6),"[""Compute 32 + 6 = 38.""]",38
train,(32 * 25),"[""Compute 32 * 25 = 800.""]",800
train,(21 + 36),"[""Compute 21 + 36 = 57.""]",57
train,((33 * 48) - (36 * 1)),"[""Compute 33 * 48 = 1584."", ""Compute 36 * 1 = 36."", ""Compute 1584 - 36 = 1548.""]",1548
train,(9 - 15),"[""Compute 9 - 15 = -6.""]",-6
train,((13 + 10) + (27 - 39)),"[""Compute 13 + 10 = 23."", ""Compute 27 - 39 = -12."", ""Compute 23 + -12 = 11.""]",11
train,((11 * 23) - (27 - 14)),"[""Compute 11 * 23 = 253."", ""Compute 27 - 14 = 13."", ""Compute 253 - 13 = 240.""]",240
train,(33 * 2),"[""Compute 33 * 2 = 66.""]",66
train,(22 + 5),"[""Compute 22 + 5 = 27.""]",27
train,((44 + 24) + (44 + 50)),"[""Compute 44 + 24 = 68."", ""Compute 44 + 50 = 94."", ""Compute 68 + 94 = 162.""]",162
train,(39 + 16),"[""Compute 39 + 16 = 55.""]",55
train,((37 * 14) * (27 - 47)),"[""Compute 37 * 14 = 518."", ""Compute 27 - 47 = -20."", ""Compute 518 * -20 = -10360.""]",-10360
train,((26 + 16) * (44 - 12)),"[""Compute 26 + 16 = 42."", ""Compute 44 - 12 = 32."", ""Compute 42 * 32 = 1344.""]",1344
train,((38 - 11) + (32 + 25)),"[""Compute 38 - 11 = 27."", ""Compute 32 + 25 = 57."", ""Compute 27 + 57 = 84.""]",84
train,(32 - 37),"[""Compute 32 - 37 = -5.""]",-5
train,((26 + 20) + (38 - 42)),"[""Compute 26 + 20 = 46."", ""Compute 38 - 42 = -4."", ""Compute 46 + -4 = 42.""]",42
train,(3 + 39),"[""Compute 3 + 39 = 42.""]",42
train,((25 + 13) + (39 - 11)),"[""Compute 25 + 13 = 38."", ""Compute 39 - 11 = 28."", ""Compute 38 + 28 = 66.""]",66
train,(45 - 14),"[""Compute 45 - 14 = 31.""]",31
train,(35 * 42),"[""Compute 35 * 42 = 1470.""]",1470
train,(2 + 50),"[""Compute 2 + 50 = 52.""]",52
train,((1 + 39) + (6 + 22)),"[""Compute 1 + 39 = 40."", ""Compute 6 + 22 = 28."", ""Compute 40 + 28 = 68.""]",68
train,((40 + 14) - (25 + 25)),"[""Compute 40 + 14 = 54."", ""Compute 25 + 25 = 50."", ""Compute 54 - 50 = 4.""]",4
train,(33 + 6),"[""Compute 33 + 6 = 39.""]",39
train,((8 * 49) - (35 - 31)),"[""Compute 8 * 49 = 392."", ""Compute 35 - 31 = 4."", ""Compute 392 - 4 = 388.""]",388
train,((36 + 4) + (8 + 23)),"[""Compute 36 + 4 = 40."", ""Compute 8 + 23 = 31."", ""Compute 40 + 31 = 71.""]",71
train,((32 * 29) + (36 + 22)),"[""Compute 32 * 29 = 928."", ""Compute 36 + 22 = 58."", ""Compute 928 + 58 = 986.""]",986
train,((30 * 36) - (21 + 4)),"[""Compute 30 * 36 = 1080."", ""Compute 21 + 4 = 25."", ""Compute 1080 - 25 = 1055.""]",1055
train,(7 + 32),"[""Compute 7 + 32 = 39.""]",39
train,(32 * 13),"[""Compute 32 * 13 = 416.""]",416
train,(19 + 39),"[""Compute 19 + 39 = 58.""]",58
train,(44 - 29),"[""Compute 44 - 29 = 15.""]",15
train,((37 + 16) - (30 + 31)),"[""Compute 37 + 16 = 53."", ""Compute 30 + 31 = 61."", ""Compute 53 - 61 = -8.""]",-8
train,(50 + 42),"[""Compute 50 + 42 = 92.""]",92
train,(24 - 44),"[""Compute 24 - 44 = -20.""]",-20
train,(37 + 18),"[""Compute 37 + 18 = 55.""]",55
train,(40 + 39),"[""Compute 40 + 39 = 79.""]",79
train,(43 * 8),"[""Compute 43 * 8 = 344.""]",344
train,(26 - 14),"[""Compute 26 - 14 = 12.""]",12
train,((16 * 39) - (42 * 19)),"[""Compute 16 * 39 = 624."", ""Compute 42 * 19 = 798."", ""Compute 624 - 798 = -174.""]",-174
train,(33 + 7),"[""Compute 33 + 7 = 40.""]",40
train,(38 * 43),"[""Compute 38 * 43 = 1634.""]",1634
train,((42 - 33) + (27 * 34)),"[""Compute 42 - 33 = 9."", ""Compute 27 * 34 = 918."", ""Compute 9 + 918 = 927.""]",927
train,((14 + 27) * (16 - 17)),"[""Compute 14 + 27 = 41."", ""Compute 16 - 17 = -1."", ""Compute 41 * -1 = -41.""]",-41
train,((44 + 3) - (46 - 30)),"[""Compute 44 + 3 = 47."", ""Compute 46 - 30 = 16."", ""Compute 47 - 16 = 31.""]",31
train,(21 * 45),"[""Compute 21 * 45 = 945.""]",945
train,((47 * 27) + (4 * 5)),"[""Compute 47 * 27 = 1269."", ""Compute 4 * 5 = 20."", ""Compute 1269 + 20 = 1289.""]",1289
train,(30 * 44),"[""Compute 30 * 44 = 1320.""]",1320
train,((32 - 6) - (29 - 39)),"[""Compute 32 - 6 = 26."", ""Compute 29 - 39 = -10."", ""Compute 26 - -10 = 36.""]",36
train,(7 + 1),"[""Compute 7 + 1 = 8.""]",8
train,(21 * 14),"[""Compute 21 * 14 = 294.""]",294
train,((42 + 36) * (22 * 22)),"[""Compute 42 + 36 = 78."", ""Compute 22 * 22 = 484."", ""Compute 78 * 484 = 37752.""]",37752
train,((12 - 46) * (48 - 4)),"[""Compute 12 - 46 = -34."", ""Compute 48 - 4 = 44."", ""Compute -34 * 44 = -1496.""]",-1496
train,((31 + 41) + (3 - 22)),"[""Compute 31 + 41 = 72."", ""Compute 3 - 22 = -19."", ""Compute 72 + -19 = 53.""]",53
train,(26 * 9),"[""Compute 26 * 9 = 234.""]",234
train,((2 * 4) + (47 + 27)),"[""Compute 2 * 4 = 8."", ""Compute 47 + 27 = 74."", ""Compute 8 + 74 = 82.""]",82
train,((41 - 48) + (5 - 30)),"[""Compute 41 - 48 = -7."", ""Compute 5 - 30 = -25."", ""Compute -7 + -25 = -32.""]",-32
train,(6 + 47),"[""Compute 6 + 47 = 53.""]",53
train,(32 * 46),"[""Compute 32 * 46 = 1472.""]",1472
train,((26 - 39) - (12 - 31)),"[""Compute 26 - 39 = -13."", ""Compute 12 - 31 = -19."", ""Compute -13 - -19 = 6.""]",6
train,(33 - 36),"[""Compute 33 - 36 = -3.""]",-3
train,((49 + 35) + (1 * 26)),"[""Compute 49 + 35 = 84."", ""Compute 1 * 26 = 26."", ""Compute 84 + 26 = 110.""]",110
train,((16 + 3) - (12 + 37)),"[""Compute 16 + 3 = 19."", ""Compute 12 + 37 = 49."", ""Compute 19 - 49 = -30.""]",-30
train,(9 + 25),"[""Compute 9 + 25 = 34.""]",34
train,(19 - 31),"[""Compute 19 - 31 = -12.""]",-12
train,((43 + 11) * (41 + 18)),"[""Compute 43 + 11 = 54."", ""Compute 41 + 18 = 59."", ""Compute 54 * 59 = 3186.""]",3186
train,((2 - 10) + (45 - 47)),"[""Compute 2 - 10 = -8."", ""Compute 45 - 47 = -2."", ""Compute -8 + -2 = -10.""]",-10
train,((10 - 40) - (47 + 21)),"[""Compute 10 - 40 = -30."", ""Compute 47 + 21 = 68."", ""Compute -30 - 68 = -98.""]",-98
train,(28 * 39),"[""Compute 28 * 39 = 1092.""]",1092
train,(10 - 11),"[""Compute 10 - 11 = -1.""]",-1
train,(4 - 7),"[""Compute 4 - 7 = -3.""]",-3
train,(34 * 20),"[""Compute 34 * 20 = 680.""]",680
train,((16 - 31) - (33 + 16)),"[""Compute 16 - 31 = -15."", ""Compute 33 + 16 = 49."", ""Compute -15 - 49 = -64.""]",-64
train,(26 * 35),"[""Compute 26 * 35 = 910.""]",910
train,((14 + 21) - (19 - 25)),"[""Compute 14 + 21 = 35."", ""Compute 19 - 25 = -6."", ""Compute 35 - -6 = 41.""]",41
train,(48 * 6),"[""Compute 48 * 6 = 288.""]",288
train,((37 - 24) - (2 + 50)),"[""Compute 37 - 24 = 13."", ""Compute 2 + 50 = 52."", ""Compute 13 - 52 = -39.""]",-39
train,(29 * 5),"[""Compute 29 * 5 = 145.""]",145
train,(4 * 47),"[""Compute 4 * 47 = 188.""]",188
train,((36 - 35) * (12 * 42)),"[""Compute 36 - 35 = 1."", ""Compute 12 * 42 = 504."", ""Compute 1 * 504 = 504.""]",504
train,((46 * 47) * (40 * 39)),"[""Compute 46 * 47 = 2162."", ""Compute 40 * 39 = 1560."", ""Compute 2162 * 1560 = 3372720.""]",3372720
train,(18 - 5),"[""Compute 18 - 5 = 13.""]",13
train,(50 * 23),"[""Compute 50 * 23 = 1150.""]",1150
train,((2 * 37) + (44 * 30)),"[""Compute 2 * 37 = 74."", ""Compute 44 * 30 = 1320."", ""Compute 74 + 1320 = 1394.""]",1394
train,(29 * 25),"[""Compute 29 * 25 = 725.""]",725
train,(11 + 37),"[""Compute 11 + 37 = 48.""]",48
train,((44 - 46) * (24 * 50)),"[""Compute 44 - 46 = -2."", ""Compute 24 * 50 = 1200."", ""Compute -2 * 1200 = -2400.""]",-2400
train,((33 * 49) - (15 - 21)),"[""Compute 33 * 49 = 1617."", ""Compute 15 - 21 = -6."", ""Compute 1617 - -6 = 1623.""]",1623
train,((5 * 21) * (39 - 7)),"[""Compute 5 * 21 = 105."", ""Compute 39 - 7 = 32."", ""Compute 105 * 32 = 3360.""]",3360
train,(50 - 19),"[""Compute 50 - 19 = 31.""]",31
train,((9 - 36) - (46 + 1)),"[""Compute 9 - 36 = -27."", ""Compute 46 + 1 = 47."", ""Compute -27 - 47 = -74.""]",-74
train,((25 + 20) * (33 * 46)),"[""Compute 25 + 20 = 45."", ""Compute 33 * 46 = 1518."", ""Compute 45 * 1518 = 68310.""]",68310
train,(36 - 14),"[""Compute 36 - 14 = 22.""]",22
train,(11 + 18),"[""Compute 11 + 18 = 29.""]",29
train,(9 + 12),"[""Compute 9 + 12 = 21.""]",21
train,(28 + 35),"[""Compute 28 + 35 = 63.""]",63
train,((49 - 31) - (2 - 20)),"[""Compute 49 - 31 = 18."", ""Compute 2 - 20 = -18."", ""Compute 18 - -18 = 36.""]",36
train,((32 * 6) + (46 + 34)),"[""Compute 32 * 6 = 192."", ""Compute 46 + 34 = 80."", ""Compute 192 + 80 = 272.""]",272
train,((12 + 4) - (40 - 11)),"[""Compute 12 + 4 = 16."", ""Compute 40 - 11 = 29."", ""Compute 16 - 29 = -13.""]",-13
train,(15 * 39),"[""Compute 15 * 39 = 585.""]",585
train,((12 * 8) * (27 + 34)),"[""Compute 12 * 8 = 96."", ""Compute 27 + 34 = 61."", ""Compute 96 * 61 = 5856.""]",5856
train,((47 * 44) * (13 + 32)),"[""Compute 47 * 44 = 2068."", ""Compute 13 + 32 = 45."", ""Compute 2068 * 45 = 93060.""]",93060
train,((28 - 43) + (48 * 31)),"[""Compute 28 - 43 = -15."", ""Compute 48 * 31 = 1488."", ""Compute -15 + 1488 = 1473.""]",1473
train,(1 * 3),"[""Compute 1 * 3 = 3.""]",3
train,((38 - 15) - (37 * 26)),"[""Compute 38 - 15 = 23."", ""Compute 37 * 26 = 962."", ""Compute 23 - 962 = -939.""]",-939
train,((27 + 22) + (29 * 17)),"[""Compute 27 + 22 = 49."", ""Compute 29 * 17 = 493."", ""Compute 49 + 493 = 542.""]",542
train,(42 - 15),"[""Compute 42 - 15 = 27.""]",27
train,((6 * 32) + (45 - 43)),"[""Compute 6 * 32 = 192."", ""Compute 45 - 43 = 2."", ""Compute 192 + 2 = 194.""]",194
train,(31 + 43),"[""Compute 31 + 43 = 74.""]",74
train,((31 + 26) + (2 * 9)),"[""Compute 31 + 26 = 57."", ""Compute 2 * 9 = 18."", ""Compute 57 + 18 = 75.""]",75
train,((11 * 21) - (16 - 12)),"[""Compute 11 * 21 = 231."", ""Compute 16 - 12 = 4."", ""Compute 231 - 4 = 227.""]",227
train,(25 + 49),"[""Compute 25 + 49 = 74.""]",74
train,(39 + 4),"[""Compute 39 + 4 = 43.""]",43
train,(2 * 2),"[""Compute 2 * 2 = 4.""]",4
train,(38 * 23),"[""Compute 38 * 23 = 874.""]",874
train,(22 * 21),"[""Compute 22 * 21 = 462.""]",462
train,((39 - 43) + (7 - 35)),"[""Compute 39 - 43 = -4."", ""Compute 7 - 35 = -28."", ""Compute -4 + -28 = -32.""]",-32
train,(31 + 18),"[""Compute 31 + 18 = 49.""]",49
train,(33 + 18),"[""Compute 33 + 18 = 51.""]",51
train,((35 * 36) - (14 + 16)),"[""Compute 35 * 36 = 1260."", ""Compute 14 + 16 = 30."", ""Compute 1260 - 30 = 1230.""]",1230
train,((2 + 38) * (24 * 10)),"[""Compute 2 + 38 = 40."", ""Compute 24 * 10 = 240."", ""Compute 40 * 240 = 9600.""]",9600
train,(19 - 26),"[""Compute 19 - 26 = -7.""]",-7
train,(44 * 32),"[""Compute 44 * 32 = 1408.""]",1408
train,((39 - 29) + (12 - 11)),"[""Compute 39 - 29 = 10."", ""Compute 12 - 11 = 1."", ""Compute 10 + 1 = 11.""]",11
train,(42 + 10),"[""Compute 42 + 10 = 52.""]",52
train,((41 - 7) - (26 - 7)),"[""Compute 41 - 7 = 34."", ""Compute 26 - 7 = 19."", ""Compute 34 - 19 = 15.""]",15
train,(7 * 46),"[""Compute 7 * 46 = 322.""]",322
train,((49 + 46) - (49 * 33)),"[""Compute 49 + 46 = 95."", ""Compute 49 * 33 = 1617."", ""Compute 95 - 1617 = -1522.""]",-1522
train,((35 + 23) - (36 + 19)),"[""Compute 35 + 23 = 58."", ""Compute 36 + 19 = 55."", ""Compute 58 - 55 = 3.""]",3
train,(13 + 9),"[""Compute 13 + 9 = 22.""]",22
train,((8 - 13) - (33 * 13)),"[""Compute 8 - 13 = -5."", ""Compute 33 * 13 = 429."", ""Compute -5 - 429 = -434.""]",-434
train,(29 * 47),"[""Compute 29 * 47 = 1363.""]",1363
train,((31 - 25) + (7 * 14)),"[""Compute 31 - 25 = 6."", ""Compute 7 * 14 = 98."", ""Compute 6 + 98 = 104.""]",104
train,((38 + 5) - (38 + 14)),"[""Compute 38 + 5 = 43."", ""Compute 38 + 14 = 52."", ""Compute 43 - 52 = -9.""]",-9
train,(35 * 48),"[""Compute 35 * 48 = 1680.""]",1680
train,(39 + 1),"[""Compute 39 + 1 = 40.""]",40
train,(21 - 49),"[""Compute 21 - 49 = -28.""]",-28
train,(4 - 6),"[""Compute 4 - 6 = -2.""]",-2
train,(47 * 49),"[""Compute 47 * 49 = 2303.""]",2303
train,(27 + 45),"[""Compute 27 + 45 = 72.""]",72
train,(13 + 13),"[""Compute 13 + 13 = 26.""]",26
train,((12 - 23) + (11 - 32)),"[""Compute 12 - 23 = -11."", ""Compute 11 - 32 = -21."", ""Compute -11 + -21 = -32.""]",-32
train,(44 - 47),"[""Compute 44 - 47 = -3.""]",-3
train,((32 * 2) + (27 - 33)),"[""Compute 32 * 2 = 64."", ""Compute 27 - 33 = -6."", ""Compute 64 + -6 = 58.""]",58
train,((32 + 38) * (40 * 44)),"[""Compute 32 + 38 = 70."", ""Compute 40 * 44 = 1760."", ""Compute 70 * 1760 = 123200.""]",123200
train,(19 + 38),"[""Compute 19 + 38 = 57.""]",57
train,(14 - 13),"[""Compute 14 - 13 = 1.""]",1
train,((33 - 39) * (31 * 40)),"[""Compute 33 - 39 = -6."", ""Compute 31 * 40 = 1240."", ""Compute -6 * 1240 = -7440.""]",-7440
train,((14 - 24) - (31 - 26)),"[""Compute 14 - 24 = -10."", ""Compute 31 - 26 = 5."", ""Compute -10 - 5 = -15.""]",-15
train,((33 + 4) * (11 + 3)),"[""Compute 33 + 4 = 37."", ""Compute 11 + 3 = 14."", ""Compute 37 * 14 = 518.""]",518
train,((16 + 30) * (21 * 10)),"[""Compute 16 + 30 = 46."", ""Compute 21 * 10 = 210."", ""Compute 46 * 210 = 9660.""]",9660
train,(2 - 42),"[""Compute 2 - 42 = -40.""]",-40
train,((24 * 26) * (35 - 44)),"[""Compute 24 * 26 = 624."", ""Compute 35 - 44 = -9."", ""Compute 624 * -9 = -5616.""]",-5616
train,(5 - 1),"[""Compute 5 - 1 = 4.""]",4
train,(14 * 27),"[""Compute 14 * 27 = 378.""]",378
train,(5 - 30),"[""Compute 5 - 30 = -25.""]",-25
train,(7 - 25),"[""Compute 7 - 25 = -18.""]",-18
train,(34 - 40),"[""Compute 34 - 40 = -6.""]",-6
train,(4 * 20),"[""Compute 4 * 20 = 80.""]",80
train,((9 - 23) + (22 + 47)),"[""Compute 9 - 23 = -14."", ""Compute 22 + 47 = 69."", ""Compute -14 + 69 = 55.""]",55
train,(50 + 27),"[""Compute 50 + 27 = 77.""]",77
train,(5 + 12),"[""Compute 5 + 12 = 17.""]",17
train,((39 - 26) - (16 - 43)),"[""Compute 39 - 26 = 13."", ""Compute 16 - 43 = -27."", ""Compute 13 - -27 = 40.""]",40
train,((49 - 47) - (15 + 50)),"[""Compute 49 - 47 = 2."", ""Compute 15 + 50 = 65."", ""Compute 2 - 65 = -63.""]",-63
train,(1 * 34),"[""Compute 1 * 34 = 34.""]",34
train,((49 - 28) - (44 * 22)),"[""Compute 49 - 28 = 21."", ""Compute 44 * 22 = 968."", ""Compute 21 - 968 = -947.""]",-947
train,((3 + 16) * (6 - 30)),"[""Compute 3 + 16 = 19."", ""Compute 6 - 30 = -24."", ""Compute 19 * -24 = -456.""]",-456
train,(38 - 35),"[""Compute 38 - 35 = 3.""]",3
train,(34 + 10),"[""Compute 34 + 10 = 44.""]",44
train,(23 - 34),"[""Compute 23 - 34 = -11.""]",-11
train,(23 - 19),"[""Compute 23 - 19 = 4.""]",4
train,((30 - 22) + (41 + 10)),"[""Compute 30 - 22 = 8."", ""Compute 41 + 10 = 51."", ""Compute 8 + 51 = 59.""]",59
train,((43 + 46) + (10 - 27)),"[""Compute 43 + 46 = 89."", ""Compute 10 - 27 = -17."", ""Compute 89 + -17 = 72.""]",72
train,((39 - 11) * (22 * 1)),"[""Compute 39 - 11 = 28."", ""Compute 22 * 1 = 22."", ""Compute 28 * 22 = 616.""]",616
train,((44 + 11) - (50 * 36)),"[""Compute 44 + 11 = 55."", ""Compute 50 * 36 = 1800."", ""Compute 55 - 1800 = -1745.""]",-1745
train,(1 - 23),"[""Compute 1 - 23 = -22.""]",-22
train,((24 * 22) * (36 - 47)),"[""Compute 24 * 22 = 528."", ""Compute 36 - 47 = -11."", ""Compute 528 * -11 = -5808.""]",-5808
train,((42 * 23) + (16 * 16)),"[""Compute 42 * 23 = 966."", ""Compute 16 * 16 = 256."", ""Compute 966 + 256 = 1222.""]",1222
train,((33 + 21) + (10 * 7)),"[""Compute 33 + 21 = 54."", ""Compute 10 * 7 = 70."", ""Compute 54 + 70 = 124.""]",124
train,(49 - 27),"[""Compute 49 - 27 = 22.""]",22
train,((38 - 41) + (13 * 20)),"[""Compute 38 - 41 = -3."", ""Compute 13 * 20 = 260."", ""Compute -3 + 260 = 257.""]",257
train,((25 * 11) * (34 - 42)),"[""Compute 25 * 11 = 275."", ""Compute 34 - 42 = -8."", ""Compute 275 * -8 = -2200.""]",-2200
train,(34 * 18),"[""Compute 34 * 18 = 612.""]",612
train,((20 * 1) - (19 + 3)),"[""Compute 20 * 1 = 20."", ""Compute 19 + 3 = 22."", ""Compute 20 - 22 = -2.""]",-2
train,(19 * 27),"[""Compute 19 * 27 = 513.""]",513
train,((35 * 35) - (14 + 25)),"[""Compute 35 * 35 = 1225."", ""Compute 14 + 25 = 39."", ""Compute 1225 - 39 = 1186.""]",1186
train,(42 + 27),"[""Compute 42 + 27 = 69.""]",69
train,(16 * 45),"[""Compute 16 * 45 = 720.""]",720
train,(30 * 40),"[""Compute 30 * 40 = 1200.""]",1200
train,((24 - 14) + (16 + 37)),"[""Compute 24 - 14 = 10."", ""Compute 16 + 37 = 53."", ""Compute 10 + 53 = 63.""]",63
train,((14 * 20) - (41 + 1)),"[""Compute 14 * 20 = 280."", ""Compute 41 + 1 = 42."", ""Compute 280 - 42 = 238.""]",238
train,((5 * 42) + (25 * 21)),"[""Compute 5 * 42 = 210."", ""Compute 25 * 21 = 525."", ""Compute 210 + 525 = 735.""]",735
train,((37 * 10) - (27 + 25)),"[""Compute 37 * 10 = 370."", ""Compute 27 + 25 = 52."", ""Compute 370 - 52 = 318.""]",318
train,((38 - 21) - (3 + 3)),"[""Compute 38 - 21 = 17."", ""Compute 3 + 3 = 6."", ""Compute 17 - 6 = 11.""]",11
train,((1 + 14) * (23 - 17)),"[""Compute 1 + 14 = 15."", ""Compute 23 - 17 = 6."", ""Compute 15 * 6 = 90.""]",90
train,(4 - 49),"[""Compute 4 - 49 = -45.""]",-45
train,(36 + 7),"[""Compute 36 + 7 = 43.""]",43
train,(9 * 9),"[""Compute 9 * 9 = 81.""]",81
train,((25 - 7) * (20 * 21)),"[""Compute 25 - 7 = 18."", ""Compute 20 * 21 = 420."", ""Compute 18 * 420 = 7560.""]",7560
train,((4 * 18) + (33 * 39)),"[""Compute 4 * 18 = 72."", ""Compute 33 * 39 = 1287."", ""Compute 72 + 1287 = 1359.""]",1359
train,((8 - 41) - (13 + 14)),"[""Compute 8 - 41 = -33."", ""Compute 13 + 14 = 27."", ""Compute -33 - 27 = -60.""]",-60
train,(44 + 33),"[""Compute 44 + 33 = 77.""]",77
train,((14 * 15) - (40 + 16)),"[""Compute 14 * 15 = 210."", ""Compute 40 + 16 = 56."", ""Compute 210 - 56 = 154.""]",154
train,(33 + 16),"[""Compute 33 + 16 = 49.""]",49
train,(13 * 34),"[""Compute 13 * 34 = 442.""]",442
train,((27 + 43) - (49 - 17)),"[""Compute 27 + 43 = 70."", ""Compute 49 - 17 = 32."", ""Compute 70 - 32 = 38.""]",38
train,((50 - 23) + (23 - 27)),"[""Compute 50 - 23 = 27."", ""Compute 23 - 27 = -4."", ""Compute 27 + -4 = 23.""]",23
train,(8 * 44),"[""Compute 8 * 44 = 352.""]",352
train,((49 + 19) - (22 * 31)),"[""Compute 49 + 19 = 68."", ""Compute 22 * 31 = 682."", ""Compute 68 - 682 = -614.""]",-614
train,((29 + 46) * (26 + 25)),"[""Compute 29 + 46 = 75."", ""Compute 26 + 25 = 51."", ""Compute 75 * 51 = 3825.""]",3825
train,((47 + 49) * (44 + 27)),"[""Compute 47 + 49 = 96."", ""Compute 44 + 27 = 71."", ""Compute 96 * 71 = 6816.""]",6816
train,((43 * 38) * (24 - 10)),"[""Compute 43 * 38 = 1634."", ""Compute 24 - 10 = 14."", ""Compute 1634 * 14 = 22876.""]",22876
train,((41 + 16) - (32 - 31)),"[""Compute 41 + 16 = 57."", ""Compute 32 - 31 = 1."", ""Compute 57 - 1 = 56.""]",56
train,(34 * 8),"[""Compute 34 * 8 = 272.""]",272
train,((37 - 20) * (38 * 39)),"[""Compute 37 - 20 = 17."", ""Compute 38 * 39 = 1482."", ""Compute 17 * 1482 = 25194.""]",25194
train,(33 * 29),"[""Compute 33 * 29 = 957.""]",957
train,(48 * 39),"[""Compute 48 * 39 = 1872.""]",1872
train,(31 + 29),"[""Compute 31 + 29 = 60.""]",60
train,(5 - 20),"[""Compute 5 - 20 = -15.""]",-15
train,((2 * 21) * (27 * 41)),"[""Compute 2 * 21 = 42."", ""Compute 27 * 41 = 1107."", ""Compute 42 * 1107 = 46494.""]",46494
train,(41 - 9),"[""Compute 41 - 9 = 32.""]",32
train,((50 + 15) * (23 * 46)),"[""Compute 50 + 15 = 65."", ""Compute 23 * 46 = 1058."", ""Compute 65 * 1058 = 68770.""]",68770
train,(6 - 26),"[""Compute 6 - 26 = -20.""]",-20
train,(40 * 37),"[""Compute 40 * 37 = 1480.""]",1480
train,((3 * 40) + (22 * 8)),"[""Compute 3 * 40 = 120."", ""Compute 22 * 8 = 176."", ""Compute 120 + 176 = 296.""]",296
train,((41 * 12) * (3 - 46)),"[""Compute 41 * 12 = 492."", ""Compute 3 - 46 = -43."", ""Compute 492 * -43 = -21156.""]",-21156
train,(2 + 45),"[""Compute 2 + 45 = 47.""]",47
train,(33 * 24),"[""Compute 33 * 24 = 792.""]",792
train,((14 * 29) + (5 - 23)),"[""Compute 14 * 29 = 406."", ""Compute 5 - 23 = -18."", ""Compute 406 + -18 = 388.""]",388
train,(19 * 24),"[""Compute 19 * 24 = 456.""]",456
train,((11 - 45) + (29 + 36)),"[""Compute 11 - 45 = -34."", ""Compute 29 + 36 = 65."", ""Compute -34 + 65 = 31.""]",31
train,(1 + 31),"[""Compute 1 + 31 = 32.""]",32
